clinic_name,site,phone,full_address,city,zip,state,clinic_type,species_treated,species_tag,latitude,longitude,rating,reviews,reviews_link,photo,photo_final,working_hours,working_hours_csv_compatible,working_hours_old_format,other_hours,about,place_id,google_id,slug,listing_tier,lead_email,emergency_status,emergency_auto_tag
Arbor Ridge Pet Clinic,https://arborridgepetclinic.com/,+1 608-274-3880,"2935 S Fish Hatchery Rd # 16, Fitchburg, WI 53711",Fitchburg,53711,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.014417,-89.4274219,4.4,100,"https://search.google.com/local/reviews?placeid=ChIJrxDuTlutB4gR_OpkndrAAT4&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nroGO8LB49UKLA2AOonJrjkNWyCrbd3udK05Ikh5kjuJvkTcBpwacD9b3rmrkcqAB-2sAYpy9dgpq59Lt-dTPHUO7AJ1Fre6x-L31y1NFlBO7rAWOOWDB6mW4NzU0wpU6lnioVF=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""8AM-5:30PM"",""Monday"":""8AM-6PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-6PM"",""Saturday"":""Closed"",""Thursday"":""8AM-6PM"",""Wednesday"":""8AM-12PM""}","Sunday,|Monday,8AM,6PM|Tuesday,8AM,6PM|Wednesday,8AM,12PM|Thursday,8AM,6PM|Friday,8AM,5:30PM|Saturday,",Monday:8AM-6PM|Tuesday:8AM-6PM|Wednesday:8AM-12PM|Thursday:8AM-6PM|Friday:8AM-5:30PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJrxDuTlutB4gR_OpkndrAAT4,0x8807ad5b4eee10af:0x3e01c0da9d64eafc,arbor-ridge-pet-clinic,,,General Practice,
Aurora Veterinary Care,https://auroravetcare.com/?utm_source=google,+1 608-850-9020,"2800 Sarah Ln Suite A, Waunakee, WI 53597",Waunakee,53597,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.175216,-89.4609997,5,224,"https://search.google.com/local/reviews?placeid=ChIJv7tZTjsBB4gRSVHb_BL0Q6s&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nraNC6Ra1HjECQfxXODDTnj06_y04ESwpntB45p9os4ipLhCT0JCoT31SdsMVWwCfNZnjC4YK_t05rScrvHPJK8IorCa1x7sIoSWqa33i_Mi1BgXYRzl4bw37mtPJ67Yi63dpQ=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""7AM-5PM"",""Monday"":""7AM-8PM"",""Sunday"":""Closed"",""Tuesday"":""7AM-8PM"",""Saturday"":""Closed"",""Thursday"":""7AM-5PM"",""Wednesday"":""7AM-8PM""}","Sunday,|Monday,7AM,8PM|Tuesday,7AM,8PM|Wednesday,7AM,8PM|Thursday,7AM,5PM|Friday,7AM,5PM|Saturday,",Monday:7AM-8PM|Tuesday:7AM-8PM|Wednesday:7AM-8PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJv7tZTjsBB4gRSVHb_BL0Q6s,0x8807013b4e59bbbf:0xab43f412fcdb5149,aurora-veterinary-care,,,General Practice,
B & R Veterinary Clinic,http://www.br.vet/,+1 608-846-8080,"532 Trail Side Dr, DeForest, WI 53532",DeForest,53532,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.252418,-89.3609855,4.3,34,"https://search.google.com/local/reviews?placeid=ChIJZRudLtX9BogRKAp6MR0IxIo&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJUDlvN_HiSNs7VKSTqeXGFc9KcFVql7eVoeG0BSlJG_j9nY5YRwmqIFbWFxp92j6PjI1iIBmLrOSihk8vlvnvSGP4SeCYl37LCfxVV6ZWded3LHb3f1ofqW0xahaaqQ6l6oM=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""8AM-5PM"",""Monday"":""8AM-7PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-5PM"",""Saturday"":""Closed"",""Thursday"":""8AM-7PM"",""Wednesday"":""8AM-5PM""}","Sunday,|Monday,8AM,7PM|Tuesday,8AM,5PM|Wednesday,8AM,5PM|Thursday,8AM,7PM|Friday,8AM,5PM|Saturday,",Monday:8AM-7PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-7PM|Friday:8AM-5PM|Saturday:Closed|Sunday:Closed,,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",ChIJZRudLtX9BogRKAp6MR0IxIo,0x8806fdd52e9d1b65:0x8ac4081d317a0a28,b--r-veterinary-clinic,,,General Practice,
Back 2 Basics Vet Clinic,https://www.b2bvetclinic.com/,+1 608-839-0636,"202 W Cottage Grove Rd, Cottage Grove, WI 53527",Cottage Grove,53527,Wisconsin,Low Cost / No Cost,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.086514,-89.200557,4.9,172,"https://search.google.com/local/reviews?placeid=ChIJ-aquQtBbBogRKeLrimT19MI&q=veterinary+care,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqg1ziX_RNQ5hCET__udS8N_cJ9Bg1p1JKEomcXX20IoNXlWChe1aVyPzD2zvcaSKcK52crXxXqKY9mP2SyQIMDzAwBkxAVjZwF58zmPkEBBeVOgaYAN9ro9uXYNEC9JVFIgxt6fA=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""8AM-3PM"",""Monday"":""8AM-7PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-7PM"",""Saturday"":""Closed"",""Thursday"":""8AM-5PM"",""Wednesday"":""8AM-5PM""}","Sunday,|Monday,8AM,7PM|Tuesday,8AM,7PM|Wednesday,8AM,5PM|Thursday,8AM,5PM|Friday,8AM,3PM|Saturday,",Monday:8AM-7PM|Tuesday:8AM-7PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-3PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",ChIJ-aquQtBbBogRKeLrimT19MI,0x88065bd042aeaaf9:0xc2f4f5648aebe229,back-2-basics-vet-clinic,,,General Practice,
Badger Veterinary Hospital Cambridge,https://cambridgeanimalhosp.com/,+1 608-423-3555,"712 Katie Ct, Cambridge, WI 53523",Cambridge,53523,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.014324,-89.0294367,4.7,103,"https://search.google.com/local/reviews?placeid=ChIJo2uZGU1vBogRynHj7nyRVtg&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipOWXq9PhPBHrK_kyleoyVwx_pcdQu8E46mjW5xu=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOWXq9PhPBHrK_kyleoyVwx_pcdQu8E46mjW5xu=w800-h500-k-no,"{""Friday"":""8AM-5PM"",""Monday"":""8AM-5PM"",""Sunday"":""Closed"",""Tuesday"":""Closed"",""Saturday"":""Closed"",""Thursday"":""8AM-5PM"",""Wednesday"":""8AM-5PM""}","Sunday,|Monday,8AM,5PM|Tuesday,|Wednesday,8AM,5PM|Thursday,8AM,5PM|Friday,8AM,5PM|Saturday,",Monday:8AM-5PM|Tuesday:Closed|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJo2uZGU1vBogRynHj7nyRVtg,0x88066f4d19996ba3:0xd856917ceee371ca,badger-veterinary-hospital-cambridge,,,General Practice,
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/wi/madison/emn?utm_source=yext,+1 608-243-1649,"2216 E Springs Dr, Madison, WI 53704",Madison,53704,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.128579,-89.2964594,3.7,217,"https://search.google.com/local/reviews?placeid=ChIJY7t40vBWBogROcRhPDgao-M&q=veterinary+care,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipOkuJ6SFljjxIUt-q-fzegpEuWYSR-HCfF_VXJQ=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOkuJ6SFljjxIUt-q-fzegpEuWYSR-HCfF_VXJQ=w800-h500-k-no,"{""Friday"":""8AM-6PM"",""Monday"":""8AM-6PM"",""Sunday"":""8AM-4PM"",""Tuesday"":""8AM-6PM"",""Saturday"":""8AM-5PM"",""Thursday"":""8AM-6PM"",""Wednesday"":""8AM-6PM""}","Sunday,8AM,4PM|Monday,8AM,6PM|Tuesday,8AM,6PM|Wednesday,8AM,6PM|Thursday,8AM,6PM|Friday,8AM,6PM|Saturday,8AM,5PM",Monday:8AM-6PM|Tuesday:8AM-6PM|Wednesday:8AM-6PM|Thursday:8AM-6PM|Friday:8AM-6PM|Saturday:8AM-5PM|Sunday:8AM-4PM,,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",ChIJY7t40vBWBogROcRhPDgao-M,0x880656f0d278bb63:0xe3a31a383c61c439,banfield-pet-hospital-east,,,General Practice,
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/wi/madison/mdw?utm_source=yext,+1 608-826-6255,"8210 Plaza Dr, Madison, WI 53719",Madison,53719,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.05717,-89.5246348,3.9,128,"https://search.google.com/local/reviews?placeid=ChIJyT41d6evB4gRkt7tAH7AiPU&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipOgp0tsFO5Pz7uyVM6lkOeDWPEUvIIwlIAgXwLO=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOgp0tsFO5Pz7uyVM6lkOeDWPEUvIIwlIAgXwLO=w800-h500-k-no,"{""Friday"":""8AM-6PM"",""Monday"":""8AM-6PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-6PM"",""Saturday"":""8AM-5PM"",""Thursday"":""8AM-6PM"",""Wednesday"":""8AM-6PM""}","Sunday,|Monday,8AM,6PM|Tuesday,8AM,6PM|Wednesday,8AM,6PM|Thursday,8AM,6PM|Friday,8AM,6PM|Saturday,8AM,5PM",Monday:8AM-6PM|Tuesday:8AM-6PM|Wednesday:8AM-6PM|Thursday:8AM-6PM|Friday:8AM-6PM|Saturday:8AM-5PM|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",ChIJyT41d6evB4gRkt7tAH7AiPU,0x8807afa777353ec9:0xf588c07e00edde92,banfield-pet-hospital-west,,,General Practice,
Beltline Animal Hospital,http://www.beltlineanimalhospital.com/,+1 608-222-1515,"800 E Broadway, Monona, WI 53716",Monona,53716,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.04782,-89.316905,4.7,112,"https://search.google.com/local/reviews?placeid=ChIJITO1wYVRBogRd_VMm8wCbbY&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrrT27yG2Fmah9WMFqO_hDssHGgwTIYriXpe_ZxEyqfgK8uV2NyLGWueW2bp5RUuO1_D6_lqqFXKWEMAvbIn985OFdY2BCwVvUuD04zhdoSO4oyznS0PtN3YXABmHJc-ZAbZghJ=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""8AM-5:30PM"",""Monday"":""8AM-5:30PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-5:30PM"",""Saturday"":""Closed"",""Thursday"":""8AM-5:30PM"",""Wednesday"":""8AM-12PM""}","Sunday,|Monday,8AM,5:30PM|Tuesday,8AM,5:30PM|Wednesday,8AM,12PM|Thursday,8AM,5:30PM|Friday,8AM,5:30PM|Saturday,",Monday:8AM-5:30PM|Tuesday:8AM-5:30PM|Wednesday:8AM-12PM|Thursday:8AM-5:30PM|Friday:8AM-5:30PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJITO1wYVRBogRd_VMm8wCbbY,0x88065185c1b53321:0xb66d02cc9b4cf577,beltline-animal-hospital,,,General Practice,
Black Earth Veterinary Clinic,http://www.blackearthvet.com/,+1 608-767-3400,"1940 Blue Mounds St, Black Earth, WI 53515",Black Earth,53515,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.129726,-89.7497483,4.8,79,"https://search.google.com/local/reviews?placeid=ChIJs39zIPGeB4gRgLGrvhGrvgs&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipM00BMw5jQtkODuNMtGwcc6WNH2wwuNNQE_8Ry5=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipM00BMw5jQtkODuNMtGwcc6WNH2wwuNNQE_8Ry5=w800-h500-k-no,"{""Friday"":""8AM-5:30PM"",""Monday"":""8AM-5:30PM"",""Sunday"":""Closed"",""Tuesday"":""8AM-5:30PM"",""Saturday"":""Closed"",""Thursday"":""8AM-5:30PM"",""Wednesday"":""8AM-5:30PM""}","Sunday,|Monday,8AM,5:30PM|Tuesday,8AM,5:30PM|Wednesday,8AM,5:30PM|Thursday,8AM,5:30PM|Friday,8AM,5:30PM|Saturday,",Monday:8AM-5:30PM|Tuesday:8AM-5:30PM|Wednesday:8AM-5:30PM|Thursday:8AM-5:30PM|Friday:8AM-5:30PM|Saturday:Closed|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJs39zIPGeB4gRgLGrvhGrvgs,0x88079ef120737fb3:0xbbeab11beabb180,black-earth-veterinary-clinic,,,General Practice,
Capital City Vet Clinic,http://www.capitalcityvetclinic.com/,+1 608-318-5060,"3120 Edmonton Dr, Sun Prairie, WI 53590",Sun Prairie,53590,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.188697,-89.2776314,4.4,385,"https://search.google.com/local/reviews?placeid=ChIJE2jk9mb4BogRP_FkLDqqK48&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipPgQHHwEZ0ngRope-9Kip0M5rlRwGUxlhtWLVE0=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPgQHHwEZ0ngRope-9Kip0M5rlRwGUxlhtWLVE0=w800-h500-k-no,"{""Friday"":""10AM-8PM"",""Monday"":""10AM-8PM"",""Sunday"":""9AM-6PM"",""Tuesday"":""10AM-8PM"",""Saturday"":""9AM-6PM"",""Thursday"":""10AM-8PM"",""Wednesday"":""10AM-8PM""}","Sunday,9AM,6PM|Monday,10AM,8PM|Tuesday,10AM,8PM|Wednesday,10AM,8PM|Thursday,10AM,8PM|Friday,10AM,8PM|Saturday,9AM,6PM",Monday:10AM-8PM|Tuesday:10AM-8PM|Wednesday:10AM-8PM|Thursday:10AM-8PM|Friday:10AM-8PM|Saturday:9AM-6PM|Sunday:9AM-6PM,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true}, ""Planning"": {""Appointment required"": true}}",ChIJE2jk9mb4BogRP_FkLDqqK48,0x8806f866f6e46813:0x8f2baa3a2c64f13f,capital-city-vet-clinic,,,General Practice,
Cat Care Clinic - East,http://catcareclinic.net/,+1 608-833-9750,"1006 E Washington Ave, Madison, WI 53703",Madison,53703,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.08417,-89.371449,4.5,115,"https://search.google.com/local/reviews?placeid=ChIJT_WcIR5TBogR5u5nfFSbd4Q&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipPlITJnIpcgrb9Ado22xALjka8yUWgeab3zURfP=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPlITJnIpcgrb9Ado22xALjka8yUWgeab3zURfP=w800-h500-k-no,"{""Friday"":""7:30AM-5:30PM"",""Monday"":""7:30AM-5:30PM"",""Sunday"":""Closed"",""Tuesday"":""7:30AM-5:30PM"",""Saturday"":""Closed"",""Thursday"":""7:30AM-5:30PM"",""Wednesday"":""7:30AM-5:30PM""}","Sunday,|Monday,7:30AM,5:30PM|Tuesday,7:30AM,5:30PM|Wednesday,7:30AM,5:30PM|Thursday,7:30AM,5:30PM|Friday,7:30AM,5:30PM|Saturday,",Monday:7:30AM-5:30PM|Tuesday:7:30AM-5:30PM|Wednesday:7:30AM-5:30PM|Thursday:7:30AM-5:30PM|Friday:7:30AM-5:30PM|Saturday:Closed|Sunday:Closed,,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true, ""Assistive hearing loop"": false}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",ChIJT_WcIR5TBogR5u5nfFSbd4Q,0x8806531e219cf54f:0x84779b547c67eee6,cat-care-clinic-east,,,General Practice,
Cat Care Clinic - West,https://catcareclinic.net/,+1 608-833-9750,"6722 Odana Rd, Madison, WI 53719",Madison,53719,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.057108,-89.4984581,4.8,209,"https://search.google.com/local/reviews?placeid=ChIJ09b_1BGvB4gR7s_XNz9lVik&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/p/AF1QipOGD6v2xDg5QqS5RsuP9MFYPF22xn5FuRFCC-8j=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOGD6v2xDg5QqS5RsuP9MFYPF22xn5FuRFCC-8j=w800-h500-k-no,"{""Friday"":""7AM-6PM"",""Monday"":""7AM-6PM"",""Sunday"":""Closed"",""Tuesday"":""7AM-6PM"",""Saturday"":""8AM-6PM"",""Thursday"":""7AM-6PM"",""Wednesday"":""7AM-6PM""}","Sunday,|Monday,7AM,6PM|Tuesday,7AM,6PM|Wednesday,7AM,6PM|Thursday,7AM,6PM|Friday,7AM,6PM|Saturday,8AM,6PM",Monday:7AM-6PM|Tuesday:7AM-6PM|Wednesday:7AM-6PM|Thursday:7AM-6PM|Friday:7AM-6PM|Saturday:8AM-6PM|Sunday:Closed,,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true, ""Assistive hearing loop"": false}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",ChIJ09b_1BGvB4gR7s_XNz9lVik,0x8807af11d4ffd6d3:0x2956653f37d7cfee,cat-care-clinic-west,,,General Practice,
Chalet Veterinary Clinic,http://chaletvet.com/,+1 608-873-8112,"1621 E Main St, Stoughton, WI 53589",Stoughton,53589,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",42.918207,-89.2012565,4.8,228,"https://search.google.com/local/reviews?placeid=ChIJQXgx2fJGBogRa7cxLJLicAY&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8OqOoYa0PWs-iP0alqNzh2lT93GZw1Lx-tl_GYSiZWG13keWcLF6NX2-C2q24ff-GSJtn_ZRww6yj-djUG9Zc3a8kwfRCc57BkjqDPMuX8j_0vdkCUcbnYkv8kH2UV8_AvHgg=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""7AM-5:30PM"",""Monday"":""8AM-5:30PM"",""Sunday"":""Closed"",""Tuesday"":""7AM-5:30PM"",""Saturday"":""7:30AM-12PM"",""Thursday"":""7AM-5:30PM"",""Wednesday"":""7AM-5:30PM""}","Sunday,|Monday,8AM,5:30PM|Tuesday,7AM,5:30PM|Wednesday,7AM,5:30PM|Thursday,7AM,5:30PM|Friday,7AM,5:30PM|Saturday,7:30AM,12PM",Monday:8AM-5:30PM|Tuesday:7AM-5:30PM|Wednesday:7AM-5:30PM|Thursday:7AM-5:30PM|Friday:7AM-5:30PM|Saturday:7:30AM-12PM|Sunday:Closed,,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",ChIJQXgx2fJGBogRa7cxLJLicAY,0x880646f2d9317841:0x670e2922c31b76b,chalet-veterinary-clinic,,,General Practice,
CheckIn Veterinary,https://checkinvet.com/,+1 608-837-6252,"791 Lois Dr, Sun Prairie, WI 53590",Sun Prairie,53590,Wisconsin,General Practice,"Dog,Cat,Check With Clinic","Dog,Cat,Check With Clinic",43.190216,-89.2315636,4.6,75,"https://search.google.com/local/reviews?placeid=ChIJW3-i3ez3BogR5rNuXdUyndg&q=veterinarian,+dane+county,+wisconsin&authuser=0&hl=en&gl=US",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqEfM2FsaHuxlw8J0FoebEYw4YReqopZK8eABZJURNi2uPv7c3vAMHTn9q-Q0SSZtW5oVqWq8NeLeZRTTh-glNM0wpSmtlNRzJjfFj_tZUuRZV_b12JuHiEtVfa7SU6TzZALbpTiA=w800-h500-k-no,https://assets.softr-files.com/applications/2252139f-7c41-4d68-97d4-4a0009cb4d77/assets/3a597736-1467-43ae-8ce4-b7332433f36f.jpeg,"{""Friday"":""9AM-4PM"",""Monday"":""9AM-5PM"",""Sunday"":""Closed"",""Tuesday"":""9AM-5PM"",""Saturday"":""Closed"",""Thursday"":""9AM-6PM"",""Wednesday"":""9AM-5PM""}","Sunday,|Monday,9AM,5PM|Tuesday,9AM,5PM|Wednesday,9AM,5PM|Thursday,9AM,6PM|Friday,9AM,4PM|Saturday,",Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-6PM|Friday:9AM-4PM|Saturday:Closed|Sunday:Closed,,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}}",ChIJW3-i3ez3BogR5rNuXdUyndg,0x8806f7ecdda27f5b:0xd89d32d55d6eb3e6,checkin-veterinary,,,General Practice,
